cri	cdi	matches
CRI SUD	CDI ZOETELE	CDI ZOETELE, CDI ZOETELE
CRI SUD	CDI AMBAM	CDI AMBAM
CRI OUEST	CDI BAFOUSSAM	CDI BAFOUSSAM
CRI OUEST	CDI BAFOUSSAM 1	CDI BAFOUSSAM 1
CRI OUEST	CDI BAFOUSSAM 2	CDI BAFOUSSAM 2
CRI SOUTH WEST	CDI BAKASSI	CDI BAKASSI
CRI OUEST	CDI BAMBOUTOS	CDI BAMBOUTOS, CDI BAMBOUTOSM
CRI NORD	CDI BENOUE	CDI BENOUE
CRI LITTORAL 2	CDI BONABERI 1	CDI BONABERI 1
CRI LITTORAL 2	CDI BONABERI 2	CDI BONABERI 2
CRI EST	CDI BOUMBA ET NGOKO	CDI BOUMBA ET NGOKO
CRI NORTH WEST	CDI BOYO	CDI BOYO
CRI SOUTH WEST	CDI BUEA	CDI BUEA
CRI NORTH WEST	CDI BUI	CDI BUI
CRI EXTREME NORD	CDI DIAMARE	CDI DIAMARE
CRI SUD	CDI DJA ET LOBO	CDI DJA ET LOBO
CRI ADAMAOUA	CDI DJEREM	CDI DJEREM
CRI NORTH WEST	CDI DONGA MANTUNG	CDI DONGA MANTUNG
CRI LITTORAL 1	CDI DOUALA 1	CDI DOUALA 1, CDI DOUALA 1
CRI LITTORAL 1	CDI DOUALA 2	CDI DOUALA 2
CRI LITTORAL 1	CDI DOUALA 10	CDI DOUALA 10
CRI LITTORAL 1	CDI DOUALA 11	CDI DOUALA 11
CRI LITTORAL 1	CDI DOUALA 12	CDI DOUALA 12
CRI LITTORAL 1	CDI DOUALA 13	CDI DOUALA 13
CRI LITTORAL 1	CDI DOUALA 14	CDI DOUALA 14
CRI LITTORAL 1	CDI DOUALA 3	CDI DOUALA 3
CRI LITTORAL 1	CDI DOUALA 4	CDI DOUALA 4
CRI LITTORAL 1	CDI DOUALA 5	CDI DOUALA 5
CRI LITTORAL 1	CDI DOUALA 6	CDI DOUALA 6
CRI LITTORAL 2	CDI EDEA	CDI EDEA
CRI NORD	CDI FARO	CDI FARO
CRI ADAMAOUA	CDI FARO ET DEO	CDI FARO ET DEO
CRI OUEST	CDI FOUMBAN	CDI FOUMBAN
CRI OUEST	CDI FOUMBOT	CDI FOUMBOT
CRI OUEST	CDI HAUT NKAM	CDI HAUT NKAM
CRI EST	CDI HAUT-NYONG	CDI HAUT-NYONG
CRI CENTRE 2	CDI HAUTE SANAGA	CDI HAUTE SANAGA
CRI OUEST	CDI HAUTS PLATEAUX	CDI HAUTS PLATEAUX
CRI EST	CDI KADEY	CDI KADEY
CRI OUEST	CDI KOUNGKHI	CDI KOUNGKHI, CDIKOUNGKHI
CRI SOUTH WEST	CDI KOUPE ET MANENGO	CDI KOUPE ET MANENGO
CRI SOUTH WEST	CDI KOUPE ET MANENGOUBA	CDI KOUPE ET MANENGOUBA
CRI SOUTH WEST	CDI LEBIALEM	CDI LEBIALEM
CRI SOUTH WEST	CDI LIMBE	CDI LIMBE
CRI EXTREME NORD	CDI LOGONE CHARI	CDI LOGONE CHARI
CRI EST	CDI LOM ET DJEREM	CDI LOM ET DJEREM, CDI LOM ET DJEREM, CDI LOM et DJEREM
CRI SOUTH WEST	CDI MAMFE	CDI MAMFE
CRI SOUTH WEST	CDI MANYU	CDI MANYU
CRI ADAMAOUA	CDI MAYO BANYO	CDI MAYO BANYO
CRI EXTREME NORD	CDI MAYO KANI	CDI MAYO KANI
CRI NORD	CDI MAYO LOUTI	CDI MAYO LOUTI
CRI EXTREME NORD	CDI MAYO TSANAGA	CDI MAYO TSANAGA, CDI MAYO-TSANAGA
CRI EXTREME NORD	CDI MAYO-DANAY	CDI MAYO-DANAY
CRI NORD	CDI MAYO-REY	CDI MAYO-REY
CRI EXTREME NORD	CDI MAYO-SAVA	CDI MAYO-SAVA
CRI CENTRE 2	CDI MBAM ET INOUBOU	CDI MBAM ET INOUBOU
CRI CENTRE 2	CDI MBAM ET KIM	CDI MBAM ET KIM
CRI CENTRE 2	CDI MBANDJOCK	CDI MBANDJOCK
CRI LITTORAL 2	CDI MBANGA	CDI MBANGA
CRI ADAMAOUA	CDI MBERE	CDI MBERE
CRI CENTRE 2	CDI MEFOU ET AFAMBA	CDI MEFOU ET AFAMBA
CRI CENTRE 2	CDI MEFOU ET AKONO	CDI MEFOU ET AKONO
CRI SOUTH WEST	CDI MEME	CDI MEME
CRI NORTH WEST	CDI MENCHUM	CDI MENCHUM
CRI OUEST	CDI MENOUA	CDI MENOUA
CRI SUD	CDI MEYOMESSALA	CDI MEYOMESSALA
CRI NORTH WEST	CDI MEZAM	CDI MEZAM
CRI NORTH WEST	CDI MOMO	CDI MOMO
CRI CENTRE 2	CDI MONATELE	CDI MONATELE
CRI LITTORAL 2	CDI MOUNGO	CDI MOUNGO
CRI SOUTH WEST	CDI MUYUKA	CDI MUYUKA
CRI SUD	CDI MVILA	CDI MVILA
CRI OUEST	CDI NDE	CDI NDE
CRI SOUTH WEST	CDI NDIAN	CDI NDIAN
CRI NORTH WEST	CDI NGOKETUNJIA	CDI NGOKETUNJIA
CRI LITTORAL 2	CDI NKAM	CDI NKAM
CRI LITTORAL 2	CDI NKONGSAMBA	CDI NKONGSAMBA
CRI OUEST	CDI NOUN	CDI NOUN
CRI CENTRE 2	CDI NYONG ET KELLE	CDI NYONG ET KELLE
CRI CENTRE 2	CDI NYONG ET MFOUMOU	CDI NYONG ET MFOUMOU
CRI CENTRE 2	CDI NYONG ET SO'O	CDI NYONG ET SO'O, CDI NYONG et SO'O
CRI CENTRE 2	CDI OBALA	CDI OBALA
CRI LITTORAL 2	CDI OCEAN	CDI OCEAN
CRI CENTRE 2	CDI SA'A	CDI SA'A
CRI LITTORAL 2	CDI SANAGA MARITIME	CDI SANAGA MARITIME, CDISANAGA MARITIME
CRI SOUTH WEST	CDI TIKO	CDI TIKO
CRI SUD	CDI VALLEE DU NTEM	CDI VALLEE DU NTEM
CRI ADAMAOUA	CDI VINA	CDI VINA
CRI CENTRE 1	CDI YAOUNDE 1	CDI YAOUNDE 1
CRI CENTRE 1	CDI YAOUNDE 2	CDI YAOUNDE 2, CDI YAOUNDE 2
CRI CENTRE 1	CDI YAOUNDE 5	CDI YAOUNDE 5, CDI YAOUNDE 5
CRI CENTRE 1	CDI YAOUNDE 6	CDI YAOUNDE 6, CDI YAOUNDE 6
CRI CENTRE 1	CDI YAOUNDE 7	CDI YAOUNDE 7, CDI YAOUNDE 7
CRI CENTRE 1	CDI YAOUNDE 7 BIS	CDI YAOUNDE 7 BIS, CDI YAOUNDE 7 BIS, CDI YAOUNDE 7BIS
CRI CENTRE 1	CDI YAOUNDE 8	CDI YAOUNDE 8, CDI YAOUNDE 8
CRI CENTRE 1	CDI YAOUNDE 9	CDI YAOUNDE 9, CDI YAOUNDE 9
CRI CENTRE 1	CDI YAOUNDE 1	CDI YAOUNDE 1
CRI CENTRE 1	CDI YAOUNDE 10	CDI YAOUNDE 10
CRI CENTRE 1	CDI YAOUNDE 11	CDI YAOUNDE 11
CRI CENTRE 1	CDI YAOUNDE 12	CDI YAOUNDE 12
CRI CENTRE 1	CDI YAOUNDE 13	CDI YAOUNDE 13
CRI CENTRE 1	CDI YAOUNDE 14	CDI YAOUNDE 14
CRI CENTRE 1	CDI YAOUNDE 3	CDI YAOUNDE 3
CRI CENTRE 1	CDI YAOUNDE 4	CDI YAOUNDE 4
CRI NORD	CIDI BENOUE ET FARO	CIDI BENOUE ET FARO
CRI OUEST	CIME BAFOUSSAM	CIME BAFOUSSAM
CRI NORTH WEST	CIME BAMENDA	CIME BAMENDA
CRI EST	CIME BERTOUA	CIME BERTOUA
CRI CENTRE 2	CIME CENTRE EXTERIEUR	CIME CENTRE EXTERIEUR, CIME CENTRE-EXTER, CIME CENTRE-EXTERIEUR
CRI LITTORAL 1	CIME DOUALA AKWA 1	CIME DOUALA AKWA 1, CIME DOUALA AKWA1
CRI LITTORAL 1	CIME DOUALA AKWA 2	CIME DOUALA AKWA 2, CIME DOUALA AKWA2
CRI LITTORAL 1	CIME DOUALA BONANJO	CIME DOUALA BONANJO
CRI NORD	CIME GAROUA	CIME GAROUA
CRI SUD	CIME KRIBI	CIME KRIBI
CRI SOUTH WEST	CIME LIMBE	CIME LIMBE
CRI LITTORAL 2	CIME LITTORAL EXTERIEUR	CIME LITTORAL EXTERIEUR, CIME LITTORAL-EXTER
CRI EXTREME NORD	CIME MAROUA	CIME MAROUA
CRI ADAMAOUA	CIME NGAOUNDERE	CIME NGAOUNDERE
CRI CENTRE 1	CIME YAOUNDE EST	CIME YAOUNDE EST
CRI CENTRE 1	CIME YAOUNDE OUEST	CIME YAOUNDE OUEST, CIMEYAOUNDEOUEST
CRI NORD	CSI BENOUE	CSI BENOUE
CRI EXTREME NORD	CSI DIAMARE	CSI DIAMARE
CRI CENTRE 1	CSI EPA CTD OM	CSI EPA CTD OM, cSI EPA CTD OM
CRI EST	CSI LOM ET DJEREM	CSI LOM ET DJEREM
CRI NORTH WEST	CSI MEZAM	CSI MEZAM
CRI SUD	CSI MVILA	CSI MVILA
CRI ADAMAOUA	CSI VINA	CSI VINA
CRI CENTRE 1	CSIPLI MFOUNDI	CSIPLI MFOUNDI, CSPLI MFOUNDI
CRI LITTORAL 1	CSIPLI WOURI	CSIPLI WOURI
DGE	DGE	DGE
DGE	DGE IFU 1	DGE IFU 1, DGE IFU 1, DGE IFU1
DGE	DGE IFU 2	DGE IFU 2, DGE IFU2
DGE	DGE IFU 3	DGE IFU 3, DGE IFU3, IFU3 DGE
DGE	DGE IFU 4	DGE IFU 4, DGE IFU4
DGE	DGE IFU 5	DGE IFU 5, DGE IFU 5, DGE IFU5, IFU5 DGE
CRI CENTRE 2	UGGC	UGGC
